person_name,company_name,cofounders
Demi Guo,Pika,Chenlin Meng
Jared Quincy Davis,Mithril,
Martin Camacho,Suno,
Molly Cantillon,HeyNox,
Micheal Truell,Cursor,"Arvid Lunnemark, Aman Sanger, Sualeh Asif"
Brandon Yang,Cartesia AI,Arjun Desai
Kiara Nirghin,Chima,Nikhara Nirghin
Serena Ge,Datacurve AI,Charley Lee
Matan Grinberg,Factory,Eno Reyes
Steve Li,Haize Labs,"Richard Liu, Leonard Tang"
Aidan Gomez,Cohere,
Janet Ho,Hume AI,
Dan Hendrycks,Center for AI Safety,
Aiden Lee,Twelve Labs,
Emma Abele,Metr,Elizabeth Barnes
Anna Monaco,Paradigm,
George Morgan,Symbolica,
Nischal Nadhamuni,Klarity,
Daniel Lee,Nooks,Nikhil Cheerla
Chinasa T. Okolo,The Brookings Institution,
Brendan Foody,Mercor,"Adarsh Hiremath, Surya Midha"
Anand Kannappan,Patronus AI,Rebecca Qian
Ethan Perez,Anthropic,
Christopher Petrillo,Wikimedia Enterprise,
Sneha Revanur,Encode Justice,
Anna Sun,Nowadays,
Nancy Xu,Moonhub,
Alex Yu,Luma AI,
